idx,cartmass,polemass,polelength,outcome,success,steps,duration_s,reached_upright,time_to_upright_s,longest_balance_steps,longest_balance_s,peak_theta_dev_deg,peak_abs_x_m,control_effort,mean_infer_ms,n_errors,theta0_deg
0,2.0,0.2,1.0,timeout,0,1000,25.0,1,4.75,33,0.825,179.53,3.84,512.835,22.48,0,197.19
1,2.0,0.2,1.1,out_of_bounds,0,54,1.35,0,,0,0.0,179.27,4.019,244.116,15.68,0,197.19
2,2.0,0.2,1.2,out_of_bounds,0,50,1.25,0,,0,0.0,179.3,4.018,222.296,15.74,0,197.19
3,2.0,0.2,1.3,out_of_bounds,0,48,1.2,0,,0,0.0,179.47,4.027,212.276,14.96,0,197.19
4,2.0,0.2,1.4,out_of_bounds,0,47,1.175,0,,0,0.0,179.31,4.066,207.899,13.64,0,197.19
5,2.0,0.2,1.5,out_of_bounds,0,46,1.15,0,,0,0.0,179.46,4.067,202.928,15.38,0,197.19
6,2.0,0.2,1.6,out_of_bounds,0,45,1.125,0,,0,0.0,179.48,4.031,197.854,15.32,0,197.19
7,2.0,0.2,1.7,out_of_bounds,0,45,1.125,0,,0,0.0,179.31,4.097,198.254,14.89,0,197.19
8,2.0,0.3,1.0,timeout,0,1000,25.0,1,4.625,34,0.85,179.53,3.792,495.02,22.38,0,197.19
9,2.0,0.3,1.1,out_of_bounds,0,55,1.375,0,,0,0.0,179.27,4.01,252.124,15.81,0,197.19
10,2.0,0.3,1.2,out_of_bounds,0,51,1.275,0,,0,0.0,179.3,4.034,230.214,14.82,0,197.19
11,2.0,0.3,1.3,out_of_bounds,0,49,1.225,0,,0,0.0,179.48,4.06,220.51,15.02,0,197.19
12,2.0,0.3,1.4,out_of_bounds,0,47,1.175,0,,0,0.0,179.31,4.015,210.162,14.0,0,197.19
13,2.0,0.3,1.5,out_of_bounds,0,46,1.15,0,,0,0.0,179.47,4.015,205.045,14.14,0,197.19
14,2.0,0.3,1.6,out_of_bounds,0,46,1.15,0,,0,0.0,179.47,4.101,204.965,13.65,0,197.19
15,2.0,0.3,1.7,out_of_bounds,0,45,1.125,0,,0,0.0,179.31,4.043,200.255,14.0,0,197.19
16,2.0,0.4,1.0,timeout,0,1000,25.0,1,4.625,45,1.125,180.0,3.737,523.795,22.49,0,197.19
17,2.0,0.4,1.1,out_of_bounds,0,57,1.425,0,,0,0.0,179.27,4.018,266.471,18.14,0,197.19
18,2.0,0.4,1.2,out_of_bounds,0,52,1.3,0,,0,0.0,179.3,4.05,239.326,16.81,0,197.19
19,2.0,0.4,1.3,out_of_bounds,0,49,1.225,0,,0,0.0,179.48,4.012,223.319,13.26,0,197.19
20,2.0,0.4,1.4,out_of_bounds,0,48,1.2,0,,0,0.0,179.31,4.063,218.44,15.97,0,197.19
21,2.0,0.4,1.5,out_of_bounds,0,47,1.175,0,,0,0.0,179.47,4.074,212.972,14.46,0,197.19
22,2.0,0.4,1.6,out_of_bounds,0,46,1.15,0,,0,0.0,179.47,4.049,206.853,15.23,0,197.19
23,2.0,0.4,1.7,out_of_bounds,0,46,1.15,0,,0,0.0,179.32,4.119,206.508,14.43,0,197.19
24,2.0,0.5,1.0,timeout,0,1000,25.0,0,,0,0.0,179.6,3.686,2742.039,22.84,0,197.19
25,2.0,0.5,1.1,out_of_bounds,0,60,1.5,0,,0,0.0,179.28,4.004,286.981,16.83,0,197.19
26,2.0,0.5,1.2,out_of_bounds,0,52,1.3,0,,0,0.0,179.29,4.009,242.791,15.46,0,197.19
27,2.0,0.5,1.3,out_of_bounds,0,50,1.25,0,,0,0.0,179.49,4.049,232.254,15.23,0,197.19
28,2.0,0.5,1.4,out_of_bounds,0,48,1.2,0,,0,0.0,179.3,4.015,221.186,15.14,0,197.19
29,2.0,0.5,1.5,out_of_bounds,0,47,1.175,0,,0,0.0,179.48,4.023,215.202,15.06,0,197.19
30,2.0,0.5,1.6,out_of_bounds,0,47,1.175,0,,0,0.0,179.46,4.114,214.574,14.25,0,197.19
31,2.0,0.5,1.7,out_of_bounds,0,46,1.15,0,,0,0.0,179.33,4.066,208.602,14.73,0,197.19
32,2.0,0.6,1.0,timeout,0,1000,25.0,0,,0,0.0,179.77,3.638,2763.097,22.61,0,197.19
33,2.0,0.6,1.1,timeout,0,1000,25.0,0,,0,0.0,179.48,3.96,2724.134,23.19,0,197.19
34,2.0,0.6,1.2,out_of_bounds,0,53,1.325,0,,0,0.0,179.29,4.025,251.7,15.66,0,197.19
35,2.0,0.6,1.3,out_of_bounds,0,50,1.25,0,,0,0.0,179.49,4.008,235.297,14.02,0,197.19
36,2.0,0.6,1.4,out_of_bounds,0,49,1.225,0,,0,0.0,179.3,4.061,229.487,15.62,0,197.19
37,2.0,0.6,1.5,out_of_bounds,0,48,1.2,0,,0,0.0,179.49,4.08,223.284,16.72,0,197.19
38,2.0,0.6,1.6,out_of_bounds,0,47,1.175,0,,0,0.0,179.46,4.063,216.754,12.53,0,197.19
39,2.0,0.6,1.7,out_of_bounds,0,46,1.15,0,,0,0.0,179.34,4.016,211.392,15.14,0,197.19
40,2.0,0.7,1.0,timeout,0,1000,25.0,0,,0,0.0,179.98,3.589,2496.973,22.55,0,197.19
41,2.0,0.7,1.1,timeout,0,1000,25.0,0,,0,0.0,179.63,3.923,2893.185,22.12,0,197.19
42,2.0,0.7,1.2,out_of_bounds,0,54,1.35,0,,0,0.0,179.29,4.037,260.528,15.48,0,197.19
43,2.0,0.7,1.3,out_of_bounds,0,51,1.275,0,,0,0.0,179.5,4.04,243.644,14.61,0,197.19
44,2.0,0.7,1.4,out_of_bounds,0,49,1.225,0,,0,0.0,179.3,4.019,231.921,14.53,0,197.19
45,2.0,0.7,1.5,out_of_bounds,0,48,1.2,0,,0,0.0,179.49,4.033,225.481,15.01,0,197.19
46,2.0,0.7,1.6,out_of_bounds,0,47,1.175,0,,0,0.0,179.45,4.017,219.325,12.52,0,197.19
47,2.0,0.7,1.7,out_of_bounds,0,47,1.175,0,,0,0.0,179.35,4.094,219.139,14.16,0,197.19
48,2.0,0.8,1.0,timeout,0,1000,25.0,0,,0,0.0,179.94,3.549,2209.826,22.22,0,197.19
49,2.0,0.8,1.1,timeout,0,1000,25.0,0,,0,0.0,179.62,3.887,2246.806,22.4,0,197.19
50,2.0,0.8,1.2,out_of_bounds,0,55,1.375,0,,0,0.0,179.29,4.043,269.049,14.68,0,197.19
51,2.0,0.8,1.3,out_of_bounds,0,52,1.3,0,,0,0.0,179.5,4.065,251.816,14.86,0,197.19
52,2.0,0.8,1.4,out_of_bounds,0,50,1.25,0,,0,0.0,179.29,4.059,239.857,14.76,0,197.19
53,2.0,0.8,1.5,out_of_bounds,0,49,1.225,0,,0,0.0,179.5,4.088,233.464,13.72,0,197.19
54,2.0,0.8,1.6,out_of_bounds,0,48,1.2,0,,0,0.0,179.45,4.085,227.673,15.59,0,197.19
55,2.0,0.8,1.7,out_of_bounds,0,47,1.175,0,,0,0.0,179.35,4.048,222.201,14.75,0,197.19
56,2.0,0.9,1.0,timeout,0,1000,25.0,0,,0,0.0,179.53,3.512,2182.765,22.17,0,197.19
57,2.0,0.9,1.1,timeout,0,1000,25.0,1,6.95,31,0.775,179.79,3.84,982.075,22.51,0,197.19
58,2.0,0.9,1.2,out_of_bounds,0,55,1.375,0,,0,0.0,179.29,4.005,271.309,16.18,0,197.19
59,2.0,0.9,1.3,out_of_bounds,0,52,1.3,0,,0,0.0,179.51,4.025,254.181,15.49,0,197.19
60,2.0,0.9,1.4,out_of_bounds,0,50,1.25,0,,0,0.0,179.29,4.013,242.137,15.88,0,197.19
61,2.0,0.9,1.5,out_of_bounds,0,49,1.225,0,,0,0.0,179.51,4.043,236.025,14.95,0,197.19
62,2.0,0.9,1.6,out_of_bounds,0,48,1.2,0,,0,0.0,179.44,4.041,230.395,15.0,0,197.19
63,2.0,0.9,1.7,out_of_bounds,0,48,1.2,0,,0,0.0,179.36,4.122,230.852,14.29,0,197.19
64,2.0,1.0,1.0,timeout,0,1000,25.0,0,,0,0.0,179.95,3.466,2209.662,22.28,0,197.19
65,2.0,1.0,1.1,timeout,0,1000,25.0,1,6.75,38,0.95,179.3,3.789,892.799,22.18,0,197.19
66,2.0,1.0,1.2,out_of_bounds,0,57,1.425,0,,0,0.0,179.28,4.029,284.715,16.19,0,197.19
67,2.0,1.0,1.3,out_of_bounds,0,53,1.325,0,,0,0.0,179.52,4.045,261.714,15.66,0,197.19
68,2.0,1.0,1.4,out_of_bounds,0,51,1.275,0,,0,0.0,179.28,4.057,250.038,15.2,0,197.19
69,2.0,1.0,1.5,out_of_bounds,0,49,1.225,0,,0,0.0,179.51,4.001,238.639,15.57,0,197.19
70,2.0,1.0,1.6,out_of_bounds,0,49,1.225,0,,0,0.0,179.44,4.104,238.767,14.87,0,197.19
