idx,cartmass,polemass,polelength,outcome,success,steps,duration_s,reached_upright,time_to_upright_s,longest_balance_steps,longest_balance_s,peak_theta_dev_deg,peak_abs_x_m,control_effort,mean_infer_ms,n_errors,theta0_deg
0,0.57,0.05,0.178,success,1,660,16.5,1,3.925,500,12.5,178.75,0.203,6.407,13.82,0,122.7
1,0.57,0.05,0.178,success,1,847,21.175,1,5.1,500,12.5,179.56,1.112,50.953,15.95,0,130.34
2,0.57,0.05,0.178,success,1,827,20.675,1,5.65,500,12.5,179.93,0.371,16.662,13.79,0,137.98
3,0.57,0.05,0.178,success,1,737,18.425,1,5.475,500,12.5,179.6,0.142,6.473,16.12,0,145.62
4,0.57,0.05,0.178,success,1,717,17.925,1,5.375,500,12.5,179.84,0.142,6.416,14.14,0,153.26
5,0.57,0.05,0.178,success,1,720,18.0,1,5.2,500,12.5,179.19,0.127,7.761,13.88,0,160.9
6,0.57,0.05,0.178,success,1,758,18.95,1,5.575,500,12.5,179.45,0.223,10.364,14.42,0,168.54
7,0.57,0.05,0.178,success,1,802,20.05,1,6.925,500,12.5,179.99,0.177,8.858,14.54,0,176.18
8,0.57,0.05,0.178,success,1,828,20.7,1,6.925,500,12.5,179.87,0.486,21.719,14.01,0,183.82
9,0.57,0.05,0.178,success,1,770,19.25,1,5.55,500,12.5,179.37,0.189,10.891,14.87,0,191.46
10,0.57,0.05,0.178,success,1,711,17.775,1,5.175,500,12.5,179.48,0.114,7.702,12.64,0,199.1
11,0.57,0.05,0.178,success,1,741,18.525,1,5.325,500,12.5,179.65,0.161,8.228,15.41,0,206.74
12,0.57,0.05,0.178,out_of_bounds,0,268,6.7,1,5.6,0,0.0,179.6,4.012,47.15,14.05,0,214.38
13,0.57,0.05,0.178,success,1,745,18.625,1,5.05,500,12.5,179.81,0.206,8.495,14.1,0,222.02
14,0.57,0.05,0.178,success,1,663,16.575,1,3.8,500,12.5,179.05,0.21,7.603,16.53,0,229.66
15,0.57,0.05,0.178,out_of_bounds,0,186,4.65,1,3.25,0,0.0,179.26,4.071,75.227,12.43,0,237.3
16,0.57,0.07,0.178,success,1,686,17.15,1,4.575,500,12.5,178.31,0.201,7.159,13.07,0,122.7
17,0.57,0.07,0.178,success,1,756,18.9,1,5.775,500,12.5,178.54,0.158,7.468,15.59,0,130.34
18,0.57,0.07,0.178,success,1,756,18.9,1,6.275,500,12.5,179.93,0.141,6.408,13.14,0,137.98
19,0.57,0.07,0.178,out_of_bounds,0,370,9.25,1,6.9,0,0.0,180.0,4.01,33.638,15.15,0,145.62
20,0.57,0.07,0.178,success,1,755,18.875,1,5.975,500,12.5,178.84,0.143,9.102,14.9,0,153.26
21,0.57,0.07,0.178,success,1,750,18.75,1,5.825,500,12.5,179.14,0.165,9.724,15.0,0,160.9
22,0.57,0.07,0.178,success,1,751,18.775,1,6.2,500,12.5,179.47,0.105,8.2,14.67,0,168.54
23,0.57,0.07,0.178,success,1,814,20.35,1,7.475,500,12.5,179.65,0.1,9.154,16.54,0,176.18
24,0.57,0.07,0.178,success,1,804,20.1,1,7.5,500,12.5,179.99,0.115,8.377,14.52,0,183.82
25,0.57,0.07,0.178,out_of_bounds,0,294,7.35,1,6.175,0,0.0,179.65,4.165,54.95,14.92,0,191.46
26,0.57,0.07,0.178,success,1,735,18.375,1,5.8,500,12.5,179.74,0.113,8.25,15.33,0,199.1
27,0.57,0.07,0.178,success,1,742,18.55,1,5.975,500,12.5,179.83,0.14,7.34,14.28,0,206.74
28,0.57,0.07,0.178,success,1,851,21.275,1,6.225,500,12.5,179.93,0.222,15.353,12.92,0,214.38
29,0.57,0.07,0.178,out_of_bounds,0,275,6.875,1,5.75,0,0.0,179.7,4.094,50.096,14.35,0,222.02
30,0.57,0.07,0.178,success,1,735,18.375,1,4.5,500,12.5,179.46,0.523,27.076,14.71,0,229.66
31,0.57,0.07,0.178,success,1,633,15.825,1,3.25,500,12.5,178.6,0.281,9.374,12.85,0,237.3
32,0.57,0.09,0.178,success,1,714,17.85,1,5.3,500,12.5,179.58,0.199,8.455,16.83,0,122.7
33,0.57,0.09,0.178,success,1,761,19.025,1,6.425,500,12.5,179.43,0.157,7.838,14.41,0,130.34
34,0.57,0.09,0.178,success,1,809,20.225,1,7.6,500,12.5,179.97,0.137,7.025,16.39,0,137.98
35,0.57,0.09,0.178,success,1,857,21.425,1,8.15,500,12.5,179.61,0.208,9.414,13.69,0,145.62
36,0.57,0.09,0.178,success,1,795,19.875,1,7.25,500,12.5,178.68,0.135,8.274,13.75,0,153.26
37,0.57,0.09,0.178,success,1,787,19.675,1,7.1,500,12.5,180.0,0.119,8.617,14.92,0,160.9
38,0.57,0.09,0.178,success,1,785,19.625,1,6.75,500,12.5,179.56,0.098,10.056,14.4,0,168.54
39,0.57,0.09,0.178,success,1,851,21.275,1,8.725,500,12.5,179.72,0.099,9.291,16.24,0,176.18
40,0.57,0.09,0.178,success,1,907,22.675,1,8.775,500,12.5,179.96,0.454,16.295,13.58,0,183.82
41,0.57,0.09,0.178,success,1,802,20.05,1,6.775,500,12.5,179.21,0.268,13.315,16.13,0,191.46
42,0.57,0.09,0.178,success,1,768,19.2,1,6.35,500,12.5,179.48,0.112,9.758,14.54,0,199.1
43,0.57,0.09,0.178,success,1,850,21.25,1,7.35,500,12.5,177.95,0.454,15.7,15.35,0,206.74
